# 14
01
Impressionist	인상파 화가[예술가]
objective	객관적인
sincere	진실한
aim to do	~하는 것을 목표로 삼다
sensation	감각
regard	응시하다, 눈여겨보다
up-to-date	현대적인
originally	원래
standing	지위
craftsman	장인
emphasis	강조
narrative	서사적인
isolated	고립된

02
assess	가늠[판단]하다
collaborative	협력하는
weigh	따져 보다, 저울질하다
relative to	~과 비교하여
persistence	지속성
situated	위치한
preferential	우선적인
access	이용, 접근
instinct	본능
reproduction	번식, 생식
likelihood	가능성
yield	산출[생산]하다
cease	중단하다
thrill	짜릿함, 전율

03
mechanisation	기계화
vertical	수직의
exceed	넘다, 초과하다
storey	층
lock	고정시키다, 잠그다
in place	제자리에 (있는)
debut	첫선, 데뷔
sensation	돌풍(을 일으키는 것)
exposition	박람회
basement	지하층
iconic	상징적인

04
dialog	다이얼로그(연극이나 영화에서, 인물 들 사이에 이루어지는 대화)
prior to	~ 이전에
vocal	말이 많은
cast	출연진
pioneer	주창하다, 개척하다
phenomenon	현상
unfold	펼치다
unaware of	~을 의식하지 않는



# 15
01
macro	거시적인
alternative	대안의
emerge	대두하다, 출현하다
question	의문을 제기하다
assumption	가정
prejudice	편견
essentialist	본질주의적인
stable	안정된
reconstruct	재구성하다
as such	따라서
awareness	인식
feature	특징
unite	결속[통합]시키다
capture	포착하다
analysis	분석

02
atomic bomb	원자 폭탄
commission	위원회
survivor	생존자
urge	촉구하다
maintain	주장하다
invaluable	매우 귀중한
impress	(중요성·심각성 등을 강조하여) 이해 시키다
permanently	영구적으로
encounter	만남, 조우

03
accept	받아들이다
definition	정의
justified	정당화된, 정당한 이유가 있는
satisfactory	만족스러운
explanation	설명
come up with	~을 제시하다
instinctively	본능적으로
arrange	약속하다
prompt	유도하다, 촉발하다
cast doubt on	~에 의문을 제기하다, ~을 의심하다
identical twin	일란성 쌍둥이

04
ethical	윤리적인
soundness	건전성, 견실성
outline	개요를 설명하다, 윤곽을 그리다
thought experiment	사고 실험

05
evolve	진화시키다
strategy	전략
be aware of	~을 의식하다
consciousness	의식, 인식
organism	유기체
a host of	다수의
mechanism	기제, 방법
inevitable	불가피한, 필연적인
virtually	거의, 사실상
involvement	개입
reflect on	~을 숙고하다
speculate	짐작하다, 추측하다
essentially	본질적으로
autonomy	자율성
progressive	점차적인, 점진적인

06
urbanism	도시화, 도시 계획
expertise	전문 지식
administrative	행정의, 관리상의
degree	학위
expand	확대하다
fulfillment	성취, 달성
fuel	자극하다
occupational	직업의
discipline	분야, 학문
pose	(문제를) 제기하다

# 16
01
encounter	마주치다
assign	배정하다
specialized	전문의, 특화된
legislature	의회, 입법부
court	법원, 법정
reference	참조, 참고
obstacle	장애물
source	취재원, 정보원, 출처

02	
variation	차이, 변화
intragroup	집단 내의
commonality	공통성
diversity	다양성
flexibly	유연하게
social suite	사회성 모둠
underlying	근본적인
universality	보편성
evolutionary	진화의
fanciful	기발한
alien	외계인
jukebox	주크박스(동전을 넣고 곡을 지정하면 저절로 음악이 나오는 장치)
illustrate	보여 주다, 실증하다

03
discipline	단련[훈련]시키다
track record	실적
predictor	예측 변수
constantly	끊임없이
redefine	재정의하다
handicap	불리한 조건
challenge	힘든 일
alternative	대안
current	현재의

04
biomedical	생물 의학의
pill	알약
tablet	정제
deemphasize	강조하지 않다, 경시하다
stimulate	자극하다
overwhelm	압도하다, 제압하다
aromatherapy	방향 요법
emerge	부상하다
alternative	대체의
advertise	광고하다, 선전하다
consumer	소비자
distinguish	구분하다
edible	먹을 수 있는
herbal medicine	한약, 한방약
odor	냄새, 향기
essence	진액, 에센스

05
when it comes to	~과 관련하여
peer	또래
engage in	~을 하다, ~에 참여하다
concerning	~과 관련하여
financial	재정적인
occupation	직업
be inclined to do	~하는 경향이 있다
reflect	반영하다
place importance on ~을 중요시하다
look to ~ for	을 ~에게 기대하다
approval	승인
as opposed to	~이 아니라
reliance	의존
conformity	순응
at the expense of	~을 희생하면서
individuality	개성

06
immediately	즉각적으로
admittedly	물론, 틀림없이
stimulation	자극
come in handy	유용하다, 쓸모가 있다
mediate	매개하다, 중재하다
reproduce	재현하다, 재생산하다
virtual	가상의
presence	존재
numerous	수많은
perception	지각
occupational	직업상의


# 17
01
tempting	하고 싶은 마음이 드는, 유혹하는
embody	담다, 구현하다
empowerment	자율권, 권한 부여
progressive	진보적인
be committed to	~에 매진하다
make a statement	자신의 생각을 표현하다
embrace	수용하다, 받아들이다

02
comparative	비교의
full-blown	완전한
comprehend	이해하다
notably	특히, 눈에 띄게
ape	유인원
spontaneously	자발적으로
apparently	분명히
infrastructure	토대, 기초 조직
prosocial	친사회적인
foundation	출발점, 토대, 재단
alternative	대안
capacity	능력
shared intentionality 지향점 공유
deceptively	놀랄 정도로, 믿을 수 없게

03
keen	열망하는
experiment	실험
collaborative	협력적인
bother to do	~하려고 애쓰다
generous	관대한
treat	간식
mood	기분
observation	관찰

04
purposeful	의도적인
situational	상황에 따른
mediate	조정[중재]하다
disposition	성향
actualize	실현하다
characterize	특징짓다
attitude	태도
normative	규범적인
component	요소
consequence	결과
